Product,Review Text,Review Date,source,features,like_count
Tesla Cybertruck,"Screw the truck, I never been through neighborhoods like that 😂",2025-03-29T20:03:24Z,YouTube,none,0
Tesla Cybertruck,Iconic...in the sense that it&#39;s one of the worst cars (if you can call it a car) that I&#39;ve ever seen. Thank god you can&#39;t buy them in my country.,2025-03-28T17:35:58Z,YouTube,none,0
Tesla Cybertruck,this is literally a tv episode,2025-03-27T19:58:54Z,YouTube,none,0
Tesla Cybertruck,that intro monologue actually aged well,2025-03-27T19:55:22Z,YouTube,none,0
Tesla Cybertruck,"at this point i have to admit that this is an extremely iconic design, like the coke bottle",2025-03-27T14:37:31Z,YouTube,design,0
Tesla Cybertruck,iconic of being shite,2025-03-27T05:56:59Z,YouTube,none,0
Tesla Cybertruck,"@amitaryal543<br>0 seconds ago<br>“Most of the millions of people, who will end up with these—cybertrucks.” Bought for and paid by Tesla. Can someone spell fanboy infomercials?",2025-03-26T17:51:40Z,YouTube,none,0
Tesla Cybertruck,Time to go bald bro 😂😂😂,2025-03-26T17:13:09Z,YouTube,none,0
Tesla Cybertruck,I love this truck! Now I actually have a solid reasons— other than thinking it looks cool.  Thanks for an excellent review.,2025-03-25T04:50:13Z,YouTube,design,0
Tesla Cybertruck,"saw it in person today, its no bigger than a ford ranger raptor, or a toyota fortuna...",2025-03-25T04:18:50Z,YouTube,none,0
Tesla Cybertruck,"If/when Tesla goes bankrupt, will this car become a brick on wheels?",2025-03-24T12:53:48Z,YouTube,none,3
Tesla Cybertruck,"When you get hit you will not be fine. The way cars deform on impact is an energy absorption design, to avoid the energy of the impact to be totally transferred to the occupants. Unless the cybertruck deals with it some other way, it&#39;s way less safe because of that rigidity.",2025-03-24T03:27:11Z,YouTube,design,0
Tesla Cybertruck,"Already iconic? Maybe as an icon of unique aesthetic and quick depreciation . <br><br>Already past its peak of popularity? Kind of looks like it now, sales have declined considerably. 46,000 total sold as of March 2025. I don&#39;t think you&#39;ll be seeing millions of these on the road, ever.<br><br>There&#39;s not enough chumps with that kind of money to throw away. There&#39;s already surplus inventory of the 2024s gathering dust as we speak. Even when the price bottoms out around 65K, these will probably be going begging on the marketplace.",2025-03-24T03:09:26Z,YouTube,"design, price",0
Tesla Cybertruck,Great video bro,2025-03-24T02:23:56Z,YouTube,none,0
